0.017,0,0.033
0.017,0.017,0
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0,0.017
0,0.017,0.017
0.017,0.017,0.017
0.017,0,0.017
0,0.017,0.017
0.017,0.017,0
0.017,0,0.017
0,0.017,0.017
0.017,0.017,0.033
0.017,0,0
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0.017,0,0.017
0,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0.017,0.017,0.017
0.017,0,0.017
0,0.017,0
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0,0.017
0.017,0.017,0.017
0,0.017,0.017
0.017,0,0.017
0.017,0.017,0.017
0,0.017,0
0.017,0,0.017
